earnings,gender,age,region,education
14.42307663,male,50,South,12
14.42307663,female,59,South,12
38.46154022,male,58,South,16
13.07692337,male,43,South,12
42.73504257,male,57,South,16
21.63461494,female,55,South,16
12.82051277,female,34,South,18
13.98601437,male,58,South,16
40.4858284,female,55,South,12
6.25,female,59,South,12
8.653845787,male,26,South,13
12.98076916,female,55,South,13
13.46153831,male,28,South,14
18.75,male,32,South,13
48.07692337,male,56,South,16
39.42307663,male,42,South,12
2.5,female,47,South,12
3.205128193,female,45,South,13
11.11111069,male,41,South,12
14.42307663,female,59,South,13
10,male,62,South,12
10.57692337,female,49,South,12
23.07692337,male,45,South,12
11.53846169,male,39,South,12
9.615385056,male,32,South,12
42.73504257,male,46,South,12
27.77777863,male,42,South,13
8.520709991,female,50,South,16
7.384615421,female,28,South,13
19.23077011,male,30,South,12
9.134614944,female,27,South,12
15,male,41,South,14
9.615385056,male,49,South,6
19.23077011,female,32,South,16
23.07692337,female,31,South,16
16.02564049,female,36,South,16
5.769230843,female,56,South,12
13.46153831,male,26,South,12
16.48351669,male,53,South,13
16.48351669,female,53,South,14
10.89743614,male,49,Northeast,12
19.61538506,female,47,South,16
15.86538506,male,48,South,12
18.07692337,male,38,South,12
13.73626328,female,38,South,12
11.53846169,male,27,Northeast,13
10.09615421,male,22,Northeast,11
5.769230843,male,53,South,12
7.307692528,female,59,South,12
5.769230843,male,22,South,13
10.57692337,male,45,South,12
8.012820244,female,50,South,12
6.263736248,female,46,South,12
32.69230652,female,49,South,16
9.134614944,male,49,South,14
5.06072855,male,38,South,18
26.44230843,female,44,South,18
9.615385056,female,58,South,14
24.03846169,male,36,South,16
29.20000076,male,51,South,18
11.53846169,female,49,South,12
9.214743614,female,44,South,13
9.615385056,female,45,South,12
16.02564049,male,46,South,12
20.5128212,male,44,South,13
14.42307663,male,40,South,11
39.71571732,male,47,South,13
6.410256386,female,53,South,14
24.03846169,female,57,West,13
10.16483498,female,50,South,16
22.43589783,male,50,South,12
35.40209961,female,51,South,16
13.16239357,female,39,South,12
18.88162613,male,52,South,12
15.38461494,female,33,South,16
18.62980843,female,56,South,12
9.615385056,female,33,South,12
26.15384674,male,29,South,16
17.4418602,female,28,South,16
8.413461685,female,31,South,12
8.17307663,male,24,South,12
23.07692337,male,24,South,10
8.125,male,34,South,12
26.44230843,male,29,South,16
29.80769157,male,44,South,16
17.30769157,male,41,South,14
14.10256386,male,33,South,13
20.67307663,male,56,South,12
12.01923084,female,39,South,10
38.46154022,male,39,South,12
6.578947544,female,52,South,10
6.221719265,female,30,South,12
8.653845787,female,52,South,12
24.03846169,male,29,South,14
12.98076916,female,57,South,12
15.38461494,male,53,South,12
15.81196594,male,33,South,14
17.09401703,female,33,South,13
9.61490345,male,62,South,10
14.90384579,male,55,South,12
15,female,61,South,13
18.07692337,female,51,Midwest,16
29.61538506,male,37,South,16
25,male,45,Midwest,16
4.945055008,female,42,Midwest,14
12.01923084,female,56,Midwest,16
25.64102554,male,60,Midwest,13
19.23077011,male,41,South,12
16.82692337,female,41,South,13
3.846153736,female,54,South,11
14.10256386,female,34,South,18
12.69230747,male,53,South,13
24.03846169,female,42,South,16
12.58741283,male,63,South,18
14.42307663,female,50,South,12
13.94230747,female,27,South,16
15.38461494,female,47,South,10
9.230769157,female,27,South,13
14.42307663,female,46,South,12
30.76922989,female,64,South,12
12.98076916,female,56,South,12
8.17307663,female,38,South,11
9.391771317,female,27,South,14
14.42307663,female,41,Northeast,12
21.63461494,male,42,Northeast,12
14.42307663,female,45,Northeast,12
10.53846169,male,27,Northeast,13
9.134614944,male,40,Northeast,12
18.02884674,male,37,Northeast,16
38.46154022,male,29,South,18
11.45833302,male,56,South,13
44.48380661,female,37,South,19
36.71328735,male,57,South,13
38.46154022,male,35,South,16
45.19230652,male,56,South,14
19.23077011,male,29,South,18
9.615385056,male,53,South,12
15.38461494,female,53,South,12
4.578754425,female,27,South,11
9.79020977,male,25,South,10
10.81730747,female,29,South,11
21.2550602,male,27,Northeast,14
33.65384674,male,48,Northeast,20
42.30769348,male,48,Northeast,18
21.15384674,female,59,Northeast,12
13.46153831,male,63,Northeast,8
11.85897446,female,54,Northeast,12
40.86538315,male,46,Northeast,12
5.769230843,male,29,Northeast,12
5.769230843,female,28,Northeast,13
48.07692337,male,63,Northeast,16
7.211538315,male,22,Northeast,12
43.26922989,male,45,Northeast,19
55.28845978,female,40,Northeast,19
48.07692337,male,33,Northeast,16
28.84615326,female,27,Northeast,16
8,female,42,Northeast,12
26.44230843,male,61,Northeast,18
27.88461494,female,60,Northeast,14
13.94230747,female,35,Northeast,13
20.19230843,male,41,Northeast,12
9.615385056,female,40,Northeast,12
36.87163544,female,46,Northeast,16
24.51922989,male,42,Northeast,6
14.42307663,male,49,Northeast,12
9.615385056,male,25,Northeast,12
14.52991486,female,24,Northeast,12
20.67307663,female,58,Northeast,12
21.63461494,female,38,Northeast,16
20.67307663,male,37,Northeast,14
20.19230843,male,64,Northeast,18
28.84615326,male,48,Northeast,12
12.59615421,female,26,Northeast,16
11.53846169,male,52,Northeast,13
19.23077011,male,41,Midwest,14
13.5,male,29,Midwest,12
6.25,female,64,Midwest,13
14.42307663,female,33,Midwest,16
17.30769157,female,43,Midwest,13
47.0836525,male,45,Midwest,18
37.5,male,63,Midwest,13
38.46154022,male,46,Midwest,16
26.375,female,27,Midwest,13
38.46154022,male,36,Midwest,16
25.48077011,male,53,Midwest,13
8.653845787,female,34,Midwest,13
43.26922989,male,53,Midwest,12
16.82692337,female,48,Midwest,12
21.15384674,male,33,Midwest,12
42.73504257,female,30,Midwest,19
23.07692337,male,31,Midwest,16
42.30769348,male,51,Midwest,16
26.44230843,female,51,Midwest,13
26.44230843,male,53,Midwest,13
11.53846169,female,40,Midwest,18
2.342657328,male,32,Midwest,16
12.98076916,male,30,Midwest,16
11.77884579,female,23,Midwest,14
14.90384579,male,49,Midwest,12
30.625,female,56,Midwest,13
45.67307663,male,43,Midwest,18
11.05769253,male,21,Midwest,12
19.23077011,female,40,Midwest,14
19.23077011,male,43,Midwest,12
4.182692528,male,33,Midwest,12
12.29874802,female,36,Northeast,16
12.65182209,female,58,Northeast,11
14.17004013,male,57,Northeast,10
16.97115326,male,32,Northeast,13
19.23077011,male,58,South,12
21.63461494,female,52,South,12
10,male,60,Northeast,12
28.84615326,male,50,Northeast,16
12.98076916,female,54,Northeast,12
13.80629349,female,52,Northeast,14
43.07692337,male,52,Northeast,18
14.42307663,female,50,Northeast,12
19.23077011,male,41,South,13
6.04395628,female,41,South,13
42.30769348,male,60,Northeast,16
35.47008514,male,30,Northeast,13
15.68825912,female,26,Northeast,13
23.07692337,male,46,Northeast,12
14.42307663,male,56,Northeast,13
16.82692337,female,57,Northeast,16
15.38461494,female,27,Northeast,18
18.75,male,30,Northeast,16
9.615385056,male,64,Northeast,8
8.17307663,female,57,Northeast,12
13.94230747,male,26,Northeast,12
10.32051277,male,49,Northeast,13
8.012820244,male,36,Northeast,16
46.70329666,female,35,Northeast,16
40.9919014,male,59,Northeast,16
38.94230652,female,58,Northeast,18
36.05769348,male,43,Northeast,11
19.23077011,female,37,Northeast,12
36.32478714,female,58,Northeast,16
14.42307663,male,32,Northeast,16
7.897603512,female,58,Northeast,13
25.61717415,female,55,Northeast,18
51.44230652,female,40,Northeast,18
19.23077011,male,36,Northeast,8
9.615385056,male,37,Northeast,8
14.42307663,male,46,Northeast,10
14.42307663,female,37,Northeast,10
16.92307663,male,35,Northeast,12
60.57692337,female,46,Northeast,16
34.61538315,female,43,Northeast,13
17.40384674,male,27,Northeast,13
24.03846169,female,30,Northeast,16
9.615385056,male,33,Northeast,11
29.72027969,female,58,Northeast,18
19.23077011,female,39,Northeast,13
8.653845787,female,61,Northeast,8
5.128205299,female,47,Northeast,12
16.82692337,male,48,Northeast,13
10.81730747,female,49,Northeast,13
7.211538315,male,37,Northeast,12
20.38461494,male,37,Northeast,14
22.59615326,female,35,Northeast,13
28.84615326,male,50,Northeast,14
17.30769157,male,50,Northeast,12
20.67307663,male,41,Northeast,13
31.65064049,male,49,Northeast,13
12.01923084,female,23,Northeast,16
14.9572649,female,39,Northeast,14
15.76923084,male,61,Northeast,12
18.83012772,male,49,Northeast,13
17.78846169,female,50,Northeast,16
4.807692528,female,60,Northeast,14
15,female,29,Northeast,14
52.13675308,female,54,Northeast,16
7.5,female,50,Northeast,6
13.36538506,male,40,Northeast,14
31.25,male,41,Northeast,12
12.01923084,female,53,Northeast,12
19.23077011,male,45,Northeast,11
9.615385056,male,26,Northeast,10
27.47252655,female,60,Northeast,16
10.57692337,female,61,Northeast,18
12.01923084,female,54,Northeast,12
25.98752594,male,57,Northeast,16
16.82692337,male,40,Northeast,16
6.923077106,female,39,Northeast,16
19.23077011,female,39,South,18
31.53846169,male,57,Northeast,16
17.71255112,female,26,Northeast,16
11.53846169,male,45,Northeast,12
8.653845787,male,24,Northeast,12
22.59615326,female,47,Northeast,14
22.43589783,male,58,Northeast,13
15.86538506,male,49,Northeast,16
12.17355728,female,43,Northeast,12
23.07692337,female,57,Northeast,14
16.66666603,male,49,Northeast,12
20.19230843,female,49,Northeast,12
29.9145298,male,56,Northeast,18
14.35445786,male,41,Northeast,12
2.5,female,38,Northeast,12
18.46153831,male,40,Northeast,12
13.22019196,female,27,Northeast,14
42.78845978,male,27,Northeast,16
16.82692337,female,58,Northeast,12
44.02833939,male,48,Northeast,12
40.86538315,male,59,Northeast,18
16.66666603,female,41,Northeast,18
46.15384674,male,54,Northeast,14
33.65384674,female,53,Northeast,18
24.03846169,male,26,Northeast,18
42.30769348,female,26,Northeast,19
15.38461494,female,39,Northeast,12
20.86049461,male,38,Northeast,13
13.22115421,male,52,Northeast,16
17.03296661,male,41,Northeast,14
11.05769253,female,46,Northeast,14
15,male,26,Northeast,16
7.692307472,male,32,Northeast,12
38.46154022,male,61,Northeast,13
15.88628769,male,43,Northeast,12
9.855769157,female,46,Northeast,12
27.27272797,male,54,Northeast,12
28.84615326,female,27,Northeast,16
28.84615326,male,38,Northeast,12
25.96153831,male,51,Northeast,12
8.791209221,male,29,Northeast,12
11.05769253,male,24,Northeast,10
15.86538506,female,25,Northeast,12
16.82692337,male,43,Northeast,12
8.547008514,female,61,Northeast,16
9.615385056,female,56,Northeast,12
3.5,male,22,Northeast,12
34.13461685,female,60,Northeast,12
18.49112511,male,62,Northeast,12
10.57692337,male,57,Northeast,13
9.230769157,female,41,Northeast,12
8.17307663,male,25,Northeast,12
9.615385056,female,55,Northeast,10
25.78671265,male,62,Northeast,16
17.30769157,male,34,Northeast,16
18.02884674,female,34,Northeast,16
11.53846169,male,33,Northeast,16
19.23077011,female,44,West,20
31.46853065,male,45,West,20
47.00897598,male,57,Northeast,16
28.84663391,female,43,Northeast,18
44.71154022,female,58,Northeast,18
38.11188889,male,52,Northeast,16
12.82051277,female,51,Northeast,16
45.67307663,male,39,South,12
27.40384674,male,36,South,12
22.59615326,female,40,South,12
30.38461494,male,31,South,14
40.86538315,male,57,South,16
10.57692337,female,54,South,14
10.76923084,male,54,South,12
6.730769157,female,62,South,10
19.87179565,male,44,South,16
24.03846169,female,45,South,12
20.67307663,female,54,South,13
43.02980804,male,53,South,13
17.25833321,female,42,South,13
16.34615326,female,32,South,13
29.75961494,male,57,South,16
5.325443745,male,21,South,12
7.692307472,male,29,South,13
14.42307663,male,64,South,12
20.19230843,female,38,South,14
10.48951054,male,38,South,12
18.46153831,male,38,South,12
6.009615421,male,22,Midwest,12
13.54166698,female,36,South,12
28.84615326,male,33,South,12
11.83431911,male,59,South,12
15.38461494,female,54,South,16
12.01923084,male,40,South,14
17.78846169,female,36,South,16
11.53846169,male,30,South,12
9.134614944,female,27,South,12
43.26922989,female,47,South,16
28.84615326,male,29,South,13
7.211538315,female,46,South,12
30,male,40,Northeast,16
22.11538506,male,49,Midwest,12
7.889546394,female,41,Midwest,12
13.46153831,female,32,Midwest,12
15.86538506,male,31,Midwest,16
6.593406677,female,33,Midwest,12
15.38461494,female,53,Midwest,18
13.10817337,female,40,Midwest,14
7.451922894,female,59,Midwest,13
21.88317299,female,42,Midwest,18
19,male,42,Midwest,12
21.63461494,female,57,Midwest,18
21.63461494,male,56,Midwest,18
5.769230843,male,35,Midwest,16
38.75,male,49,Midwest,20
2.740384579,female,31,Midwest,18
38.46154022,male,45,Midwest,16
36.98225021,male,53,Midwest,12
19.23077011,male,49,Midwest,14
14.61538506,male,28,West,16
12.01923084,female,52,Midwest,14
12.01923084,female,40,Midwest,12
7.324999809,female,45,Midwest,12
11.875,male,52,Midwest,13
23.75,female,37,Midwest,16
16.82692337,female,53,Midwest,13
25,male,32,Midwest,12
23.71111107,male,46,Midwest,13
17.30769157,male,61,Midwest,12
34.13461685,female,26,Midwest,18
13.46153831,male,37,Midwest,14
18.91025734,male,48,Midwest,12
9.615385056,male,22,Midwest,12
12.01923084,female,51,Midwest,12
11.23384571,male,26,Midwest,12
12.98076916,female,35,Midwest,12
10.09615421,male,32,Midwest,16
16.19433212,female,58,Midwest,12
2.136752129,male,59,Midwest,12
6.410256386,female,50,Midwest,14
9.340659142,male,54,Midwest,12
13.30128193,male,63,Midwest,14
8.125,male,31,Midwest,9
31.15384674,female,50,Northeast,18
9.615385056,female,62,Northeast,13
40.86538315,male,39,Northeast,16
25.64102554,female,50,West,16
24.03846169,male,55,Northeast,13
15.38461494,male,49,Northeast,12
11.53846169,female,36,Northeast,12
12.01923084,male,38,Northeast,12
23.07692337,male,57,Northeast,12
12.5,male,28,Northeast,9
12.5,male,34,Northeast,16
5.769230843,female,38,Northeast,12
38.46154022,male,48,Northeast,16
20.16129112,male,38,Northeast,12
25,female,54,Northeast,16
22.30769157,male,58,Northeast,18
11.11111069,female,28,Midwest,16
19.18367386,male,29,Midwest,14
13.46153831,female,42,Northeast,16
16.53846169,male,45,Northeast,16
6.926113129,female,55,Northeast,12
5.939903736,male,56,Northeast,12
4.895104885,female,24,Northeast,12
10.737607,female,43,Northeast,16
16.82692337,male,30,Northeast,12
40.38461685,female,49,Northeast,18
31.73077011,female,31,Northeast,16
24.29149818,female,29,Northeast,16
23.07692337,male,47,Northeast,13
11.63967609,female,46,Northeast,13
12.98076916,male,53,Northeast,12
15.18218613,male,58,Northeast,14
10.57692337,female,64,Northeast,12
7.211538315,male,41,South,12
14.42307663,male,37,Northeast,14
8.79807663,male,33,Northeast,12
38.46154022,female,40,Northeast,16
7.10059166,male,35,Northeast,12
13.94230747,female,32,Northeast,12
29.05982971,male,59,Northeast,16
29.80769157,female,57,Northeast,14
10.2564106,female,30,Northeast,16
18.46153831,male,42,Northeast,12
17.39316177,male,21,Northeast,12
16.82692337,female,26,Northeast,14
12.5,female,24,Northeast,12
7.5,female,37,Northeast,12
24.03846169,male,52,Northeast,12
16.82692337,female,51,Northeast,12
11.18067932,male,31,Northeast,14
6.25,female,34,Northeast,12
28.84615326,male,43,Northeast,12
24.03846169,female,40,Northeast,14
11.05769253,male,34,Northeast,14
11.44444466,male,52,Northeast,12
8.653845787,female,53,Northeast,12
7.8125,male,28,Northeast,14
31.25,female,60,Northeast,12
23.93162346,male,47,Northeast,14
7.050000191,male,38,Northeast,9
13.46153831,female,56,Northeast,12
27.01465225,male,42,Northeast,14
14.17451954,female,50,Northeast,16
15.86538506,male,62,Northeast,10
12.82051277,male,50,Northeast,12
21.36752129,male,35,Northeast,12
24.72527504,female,52,Northeast,14
22.18934822,female,58,Northeast,16
11.17500019,female,58,Northeast,12
7.211538315,male,44,Northeast,9
4.326922894,female,39,Northeast,9
16.34615326,male,37,Northeast,13
14.42307663,female,25,Northeast,16
5.219780445,female,24,Northeast,16
17.58241844,female,35,Northeast,13
31.75230789,female,61,Midwest,20
10.1214571,female,43,Northeast,14
4.230769157,female,47,Midwest,16
6.730769157,female,33,South,16
36.05721283,male,47,South,10
31.25,male,40,South,14
15.76923084,male,31,South,12
16.63201714,female,37,South,12
18.26922989,male,55,South,14
8.653845787,female,56,South,12
15.38461494,male,60,South,12
24.03846169,male,49,South,12
20.76922989,male,52,South,16
15.59251595,female,47,South,16
11.53846169,male,35,South,12
8.974358559,female,33,South,14
16.23931694,male,37,South,14
11.53846169,male,39,South,16
9.615385056,female,41,South,12
17.9765892,male,25,South,12
6,male,46,South,12
13.46153831,female,31,South,13
16.5,male,43,South,13
14.42307663,male,30,South,12
6.593406677,male,23,South,12
5.5,male,25,South,12
18.26922989,female,62,South,12
12.01923084,male,25,South,12
48.07692337,male,46,South,13
21.739645,male,36,South,12
7.5,female,36,South,10
18.75,male,56,South,13
14.42307663,male,55,South,14
22.72727203,male,64,South,13
21.15384674,female,51,South,16
10,male,46,South,11
25,female,47,Northeast,18
20.57500076,male,34,Northeast,12
18.75,female,32,Northeast,12
38.46154022,male,38,Northeast,16
10.57692337,female,23,Northeast,12
12.98076916,male,30,Northeast,13
10.1214571,female,29,Northeast,12
16.82692337,male,50,Northeast,12
7.692307472,female,44,Northeast,12
3.365384579,female,40,Northeast,14
14.42307663,male,45,Northeast,12
8.25,male,37,Northeast,12
14.78022003,female,49,Northeast,16
18.54395676,male,50,Northeast,16
16.34615326,female,61,South,12
5.341880322,male,48,South,18
22.34749603,female,47,South,18
40.86538315,male,44,South,16
45.67307663,female,38,South,16
26.44230843,female,51,South,11
15.38461494,male,48,South,12
11.05769253,female,49,South,12
19.23077011,female,35,South,13
19.23077011,male,40,South,12
45.67307663,male,59,South,12
16.15384674,male,40,South,12
26.92307663,male,38,South,16
13.31360912,male,38,South,12
12.83653831,female,43,South,12
59.13461685,male,38,South,13
23.07692337,male,47,South,13
19.23077011,male,28,South,12
48.07692337,female,28,South,16
8,female,42,South,13
2.884615421,male,28,South,12
9.397115707,female,28,South,10
20.2429142,male,40,South,12
12.14574909,female,40,South,12
9.783654213,female,38,South,12
9.482211113,female,46,South,12
9.615385056,male,33,South,12
11.96581173,male,31,South,16
21.63461494,female,36,Northeast,14
17.30769157,male,34,Northeast,13
28.84615326,female,38,Northeast,16
20.67307663,female,41,Northeast,12
31.43491173,male,61,Northeast,13
5.769230843,female,53,Northeast,11
21.63461494,female,40,Northeast,14
14.70588207,male,47,Northeast,12
11.94278812,female,58,Northeast,10
14.42307663,female,37,Northeast,13
18.07692337,male,39,Northeast,16
46.15384674,male,38,Northeast,19
24.51922989,female,45,Northeast,18
17.06730843,male,49,Northeast,12
28.84615326,female,41,Northeast,14
40.86538315,male,40,Northeast,14
44.23077011,male,40,Northeast,18
16.82692337,female,60,Northeast,12
22.72727203,male,60,Northeast,12
42.73504257,female,54,Northeast,16
21.63461494,male,49,Northeast,12
17.30769157,female,39,Northeast,12
10.57692337,female,40,Midwest,14
8.461538315,male,41,Northeast,16
33.33333206,female,44,Northeast,16
20.67307663,male,36,Northeast,16
19.23077011,female,31,Northeast,14
19.23077011,male,32,Northeast,12
14.42307663,female,34,Northeast,13
14.42307663,female,27,Northeast,16
9.615385056,male,40,Northeast,12
38.46154022,male,50,Northeast,16
26.92307663,male,56,Northeast,13
13.73626328,female,54,Northeast,13
12.01923084,male,48,Northeast,18
38.46154022,female,48,Northeast,19
15.38461494,female,27,Northeast,18
12,male,45,Northeast,12
27.88461494,female,44,South,16
14.79289913,male,49,South,13
33.65384674,male,23,South,12
17.30769157,male,29,South,13
11.25,female,23,South,12
26.92307663,male,51,South,13
17.30769157,female,44,South,14
12.01923084,male,49,South,11
17.30769157,female,60,South,12
31.25,male,33,South,13
15.38461494,male,28,South,12
19.23077011,male,57,South,12
15.68627453,male,28,Midwest,16
2.884615421,female,55,South,14
18.22916603,male,39,South,8
3.205128193,male,52,Northeast,12
15.38461494,female,40,South,13
24.5,male,40,South,12
9.615385056,male,31,South,12
5.197504997,female,45,South,12
7.692307472,female,42,South,12
20.19230843,male,46,South,12
29.069767,male,46,South,16
20.19230843,male,47,South,16
17.67151833,female,45,South,14
26.92307663,female,44,South,18
20.7489872,female,33,Northeast,12
24.29149818,male,31,Northeast,12
12.82051277,female,41,Northeast,16
4.807692528,female,43,Northeast,12
26.44230843,male,39,Northeast,16
42.30769348,male,37,Northeast,19
21.97802162,male,25,Northeast,13
15.46822739,female,25,Northeast,16
4.807692528,female,39,Northeast,12
15.13504314,male,46,Northeast,10
17.06730843,female,49,Northeast,18
16.34615326,male,32,Northeast,14
15.38461494,male,57,Northeast,14
12.14285755,female,63,South,12
19.23077011,male,50,South,12
19.23077011,female,41,South,13
37.82051468,male,53,Northeast,18
28.84615326,male,40,South,12
9.615385056,male,30,South,13
21.97802162,female,29,South,16
9.134614944,male,60,South,12
21.63461494,male,47,South,12
23.29881668,male,41,South,18
26.44230843,male,46,South,16
38.94230652,female,45,South,18
44.87179565,female,46,South,16
11.53846169,male,40,South,12
5.288461685,male,60,South,12
19.23077011,female,50,South,19
11.96581173,female,44,Northeast,12
20.19230843,male,53,Northeast,12
9.134614944,female,53,Northeast,12
37.69230652,male,52,Northeast,16
15.38461494,female,33,Northeast,12
28.19711494,male,35,Northeast,18
13.18681335,female,37,Northeast,16
42.78845978,male,53,Northeast,14
14.42307663,female,46,Northeast,12
14.90384579,male,50,Northeast,12
7.5,female,47,Northeast,12
21.71288109,male,52,Northeast,16
16.34615326,female,35,Northeast,13
14.90384579,female,53,Northeast,12
23.55769157,male,52,Northeast,12
12.08791256,female,37,Northeast,12
16.23931694,male,39,Northeast,12
30.76922989,male,57,Northeast,16
8.653845787,female,21,Northeast,14
32.05128098,female,34,Northeast,16
14.42307663,female,40,Northeast,14
8.17307663,female,43,Northeast,12
14.42307663,male,55,Northeast,16
20,female,53,Northeast,18
26.15384674,female,43,Northeast,13
16.02564049,male,48,Northeast,14
23.82943153,male,41,Northeast,13
10.57692337,female,58,Northeast,10
28.84615326,male,59,Northeast,13
43.46154022,male,38,Northeast,10
11.92307663,female,50,Northeast,10
24.03846169,male,58,Northeast,13
14.59183693,female,27,Northeast,13
17.30769157,male,29,Northeast,16
16.66666603,female,57,Northeast,13
26.60256386,female,43,Northeast,12
30.76922989,male,42,Northeast,14
21.63461494,male,52,Northeast,12
15.38461494,female,54,Northeast,14
19.95192337,female,58,Northeast,12
31.25,female,54,Northeast,18
40.86538315,male,55,Northeast,18
31.25,male,41,Northeast,18
10.49890327,female,36,Northeast,16
28.84615326,male,44,Northeast,12
12.01923084,female,57,Northeast,14
5.769230843,male,55,Northeast,16
33.17307663,female,48,Northeast,16
30.30303001,female,48,Northeast,19
5.769230843,female,30,South,16
12.5,male,31,South,16
3.846153736,male,35,Northeast,16
17.30769157,female,53,Northeast,16
9.401709557,male,55,Northeast,16
16.82692337,male,29,Northeast,14
16.82692337,female,28,Northeast,14
10.32966995,female,23,Northeast,16
23.07692337,male,33,Northeast,16
21.63461494,female,26,Northeast,16
14.40076923,male,49,Northeast,12
25.98290634,male,42,Northeast,12
15.86538506,male,24,Northeast,12
14.42307663,female,29,South,13
28.84615326,male,53,South,13
20.83333397,male,61,South,13
21.63461494,female,47,South,12
20.19230843,male,27,South,16
13.46153831,female,42,South,12
8.653845787,female,39,South,12
18.75,male,57,South,16
21.15384674,male,55,South,12
11.11111069,female,47,South,12
23.58299637,female,49,South,16
23.31730843,female,50,South,16
18.26922989,male,47,South,13
13.94230747,female,63,Northeast,12
11.92307663,female,46,Northeast,12
15.86538506,male,47,Northeast,13
11.18067932,female,42,Northeast,13
12.94378662,female,58,Northeast,14
21.63461494,male,53,Northeast,8
17.78846169,male,30,Northeast,12
17.78846169,female,42,Northeast,13
13.80670643,female,63,Northeast,13
14.42307663,male,64,Northeast,16
18.65384674,male,38,Northeast,13
27.27272797,male,61,Northeast,12
16.20370293,male,34,Northeast,14
13.05723476,female,46,Northeast,12
32,female,30,Northeast,18
21.15384674,male,36,Northeast,13
19.23077011,female,40,Northeast,12
36.15384674,male,40,Northeast,16
36.21794891,male,49,Northeast,16
18.26922989,male,25,Northeast,16
17.30769157,male,41,Northeast,13
19.23077011,male,29,Northeast,12
12.01923084,female,26,Northeast,13
17.69230843,male,50,Northeast,6
15.38461494,male,35,Northeast,12
12.5,female,33,Northeast,12
26.92307663,male,40,Northeast,16
26.49572563,male,45,Northeast,10
38.46154022,male,50,Northeast,18
38.46154022,male,30,Midwest,20
7.051281929,male,45,Northeast,12
10,female,45,Northeast,12
12.88461494,female,62,Northeast,12
20.67307663,female,32,Northeast,12
7.264957428,male,35,Northeast,18
19.23077011,male,48,Northeast,16
18.75,male,63,Northeast,12
9.615385056,female,63,Northeast,12
26.44230843,male,34,Northeast,12
16.82692337,female,34,Northeast,14
6.410256386,female,32,Northeast,11
11,male,26,Northeast,9
8.791209221,female,52,Northeast,13
11.09467411,female,34,Northeast,13
24.03846169,female,52,Northeast,16
4.807692528,female,42,Northeast,11
10,female,33,Northeast,14
3.846153736,female,62,Northeast,12
17.96558762,female,24,Northeast,16
17.96558762,female,24,Northeast,16
40.10988998,female,51,South,18
22.77327919,male,34,South,18
26.82186317,female,33,South,18
23.68420982,female,49,South,18
17.30769157,female,48,South,13
22.11538506,male,45,South,12
13.46153831,male,34,South,12
7.396449566,female,25,South,13
19.23077011,male,35,South,14
18.75,female,31,South,14
33.17307663,male,47,South,16
32.21154022,male,42,South,14
27.88461494,female,41,South,16
19.23077011,female,50,South,14
37.69230652,male,34,South,12
14.27884579,female,28,South,14
18.75,male,28,South,12
16.20370293,female,25,South,12
23.55769157,female,34,Northeast,16
17.20647812,female,53,South,18
57.69230652,male,54,South,18
24.03846169,male,50,South,16
16.82692337,female,49,South,16
16.82692337,male,55,South,8
17.78846169,female,56,South,12
19.71153831,female,33,Northeast,16
10.57692337,male,37,Northeast,12
21.82952118,female,31,South,18
21.15384674,male,34,South,12
